Date,Stock,Action,Side,Qty,EntryPrice,ExitPrice,P&L,CashAfter,Reason
2000-01-03,AUROPHARMA_ohlcv,BUY,LONG,906,55.18501663208008,,-50197.61556893921,49802.38443106079,SCORE
2000-01-11,AXISBANK_ohlcv,BUY,LONG,7688,3.393310546875,,-26192.1225703125,23610.26186074829,SCORE
2000-01-20,AUROPHARMA_ohlcv,SELL,LONG,906,55.18501663208008,58.39674758911133,2709.8377467956543,76317.7246762085,EXIT_LONG
2000-01-20,AXISBANK_ohlcv,SELL,LONG,7688,3.393310546875,3.464599370956421,443.7173936004639,102849.21355418397,EXIT_LONG
2000-01-20,BPCL_ohlcv,SHORT,SHORT,2988,8.713857650756836,,-13122.651356872559,89726.5621973114,SCORE
2000-01-20,BRITANNIA_ohlcv,SHORT,SHORT,407,63.92294692993164,,-13112.386257843018,76614.17593946839,SCORE
2000-01-20,CIPLA_ohlcv,SHORT,SHORT,322,80.728759765625,,-13101.30896484375,63512.86697462464,SCORE
2000-01-20,DRREDDY_ohlcv,SHORT,SHORT,368,70.61165618896484,,-13096.485096679688,50416.38187794495,SCORE
2000-01-20,EICHERMOT_ohlcv,SHORT,SHORT,6657,3.91204285621643,,-13125.404524091718,37290.97735385323,SCORE
2000-01-20,GAIL_ohlcv,SHORT,SHORT,3691,7.0555877685546875,,-13125.255924682617,24165.721429170615,SCORE
2000-01-20,HDFCBANK_ohlcv,SHORT,SHORT,1797,14.4857759475708,,-13119.593446403504,11046.127982767111,SCORE
2000-01-25,HDFCBANK_ohlcv,COVER,SHORT,1797,14.4857759475708,17.567853927612305,-5642.617887645722,18353.926577117905,EXIT_SHORT
2000-01-31,BPCL_ohlcv,COVER,SHORT,2988,8.713857650756836,8.97208023071289,-875.7170955505371,30422.370888021636,EXIT_SHORT
2000-01-31,BRITANNIA_ohlcv,COVER,SHORT,407,63.92294692993164,53.292930603027344,4222.35008744812,47653.04067571084,EXIT_SHORT
2000-01-31,CIPLA_ohlcv,COVER,SHORT,322,80.728759765625,78.34456634521484,663.7316387939453,61314.10263677041,EXIT_SHORT
2000-01-31,DRREDDY_ohlcv,COVER,SHORT,368,70.61165618896484,62.7904167175293,2774.275767578125,77080.92314311807,EXIT_SHORT
2000-01-31,EICHERMOT_ohlcv,COVER,SHORT,6657,3.91204285621643,3.231823682785034,4424.049160357473,94526.20695039193,EXIT_SHORT
2000-01-31,GAIL_ohlcv,COVER,SHORT,3691,7.0555877685546875,6.510282039642334,1908.5547476005554,109455.84892486017,EXIT_SHORT
2000-01-31,AUROPHARMA_ohlcv,BUY,LONG,40,48.60222625732422,,-1951.8654064941406,107503.98351836603,SCORE
2000-01-31,AXISBANK_ohlcv,BUY,LONG,445,4.412729263305664,,-1971.5191802597046,105532.46433810632,SCORE
2000-01-31,HDFCBANK_ohlcv,BUY,LONG,101,19.28327178955078,,-1955.4008925476073,103577.06344555871,SCORE
2000-01-31,HINDALCO_ohlcv,BUY,LONG,34,56.7919921875,,-1938.6514453125,101638.41200024622,SCORE
2000-01-31,HINDUNILVR_ohlcv,BUY,LONG,14,138.3040008544922,,-1944.0010360107422,99694.41096423547,SCORE
2000-01-31,INFY_ohlcv,BUY,LONG,26,74.85602569580078,,-1954.0416947631836,97740.36926947228,SCORE
2000-01-31,ITC_ohlcv,BUY,LONG,183,10.74096965789795,,-1973.459837184906,95766.90943228739,SCORE
2000-01-31,M&M_ohlcv,BUY,LONG,46,42.118446350097656,,-1945.1983262329102,93821.71110605447,SCORE
2000-01-31,ONGC_ohlcv,BUY,LONG,133,14.777771949768066,,-1973.3054439964294,91848.40566205804,SCORE
2000-01-31,RELIANCE_ohlcv,BUY,LONG,113,17.33615493774414,,-1966.8214499969483,89881.58421206109,SCORE
2000-01-31,SBIN_ohlcv,BUY,LONG,106,18.437183380126953,,-1962.1588040466308,87919.42540801446,SCORE
2000-01-31,SIEMENS_ohlcv,BUY,LONG,55,35.579917907714844,,-1964.7230668640136,85954.70234115045,SCORE
2000-01-31,SUNPHARMA_ohlcv,BUY,LONG,157,12.505823135375977,,-1971.2678891830444,83983.4344519674,SCORE
2000-01-31,TATACONSUM_ohlcv,BUY,LONG,41,47.87021255493164,,-1970.529429611206,82012.9050223562,SCORE
2000-01-31,TATAMOTORS_ohlcv,BUY,LONG,57,33.91794204711914,,-1941.055987472534,80071.84903488366,SCORE
2000-01-31,TATASTEEL_ohlcv,BUY,LONG,312,6.285890579223633,,-1969.0426521606446,78102.80638272302,SCORE
2000-01-31,TITAN_ohlcv,BUY,LONG,321,6.117618560791016,,-1971.6105802459717,76131.19580247704,SCORE
2000-01-31,WIPRO_ohlcv,BUY,LONG,28,69.19776916503906,,-1945.2876867675782,74185.90811570946,SCORE
2000-02-03,AUROPHARMA_ohlcv,SELL,LONG,40,48.60222625732422,51.28624725341797,99.58448364257812,76229.58164964501,EXIT_LONG
2000-02-03,AXISBANK_ohlcv,SELL,LONG,445,4.412729263305664,5.546210765838623,496.5446105384827,78689.79078235451,EXIT_LONG
2000-02-03,HDFCBANK_ohlcv,SELL,LONG,101,19.28327178955078,18.326210021972656,-104.45368032836915,80532.94755277077,EXIT_LONG
2000-02-03,HINDALCO_ohlcv,SELL,LONG,34,56.7919921875,64.18544006347656,243.65351684570314,82707.52880399147,EXIT_LONG
2000-02-03,HINDUNILVR_ohlcv,SELL,LONG,14,138.3040008544922,138.1849365234375,-9.411924682617187,84634.37289127175,EXIT_LONG
