File,Total trades,Winning trades,Losing trades,Win rate,Average return per trade,Median return per trade,Max return,Min return,Average trade duration,Median trade duration,Max trade duration,Min trade duration,Total cumulative return,Maximum drawdown,Profit factor,Expectancy,Return volatility
APOLLOHOSP_ohlcv.csv,144,144,0,1.0,2.167663347572058,1.785867941264422,6.9006110886123775,0.008078292954296446,1622.361111111111,1601.0,2469,307,1.1150977149788777e+64,40.732394146165404,-inf,2.167663347572058,1.608096214174222
MUTHOOTFIN_ohlcv.csv,89,86,3,0.9662921348314607,0.6288982690876481,0.2757735779106376,3.1078487064123252,-0.140224555219557,497.3258426966292,378.0,1192,11,6244607271314808.0,5.9337771385528395,216.40246653610052,0.5865006329693798,0.7256668052492539
PETRONET_ohlcv.csv,140,133,7,0.95,0.9109276574942416,0.607907337964404,4.703122963671813,-0.3262686162678854,896.3785714285714,969.5,1639,19,9.915087848661937e+32,21.962357924231718,198.19909593645707,0.8198348917448174,1.012610553850588
COLPAL_ohlcv.csv,144,132,12,0.9166666666666666,0.32007650782618385,0.16425235187576476,2.577721483867501,-0.2817241494611944,327.05555555555554,329.0,1021,7,198712910442176.25,30.17292393231203,53.34712676454668,0.26673042318848655,0.5037986710848296
PIDILITIND_ohlcv.csv,142,127,15,0.8943661971830986,0.41882673068797827,0.20898453533637956,2.749155696958847,-0.3052200872265728,281.09154929577466,247.5,854,20,7.189671102960636e+17,202.03359853785423,41.65877339377744,0.33034221012009557,0.5753848297309481
EICHERMOT_ohlcv.csv,244,217,27,0.889344262295082,6.6767493988319355,3.266334108228751,78.69269937980397,-0.38948908767815166,1223.27868852459,1171.5,2553,11,1.0128441432301538e+141,1626.6886558882954,292.9464867416706,5.199108138434704,11.565694994448641
BRITANNIA_ohlcv.csv,190,168,22,0.8842105263157894,0.8151180748964898,0.26741133949346285,6.521329416021315,-0.35851125834854897,655.4842105263158,680.0,1723,15,2.2801802890433486e+37,247.30821201689878,79.04328111419575,0.6263538891309869,1.1578248565328868
TORNTPHARM_ohlcv.csv,137,121,16,0.8832116788321168,0.9467575472776387,0.3138769250557693,5.58079223935607,-0.25057848645008746,542.3065693430657,292.0,1523,11,1.7709925851224078e+29,69.30134077927187,103.50723926616342,0.7256170982784823,1.3353537023462083
AXISBANK_ohlcv.csv,201,176,25,0.8756218905472637,3.4374657074513997,0.42490986832581296,17.95634027338376,-0.31285643597454055,713.9353233830846,253.0,1950,9,1.7796126626456344e+79,229.36223846799692,217.2819496412328,2.582374735448564,5.142553264135394
INDIGO_ohlcv.csv,64,56,8,0.875,0.14990061438290447,0.11557249723631108,0.9114623731240769,-0.14460327735578507,100.953125,77.5,342,7,3082.046601931128,1.3778451131153648,14.776738202787785,0.11242546078717836,0.21237413317226292
PAGEIND_ohlcv.csv,100,87,13,0.87,0.233722858336515,0.1720370577645986,1.188667814608554,-0.1841604567124808,139.44,117.5,468,14,190884145.264656,92.99287386237029,29.208049429182157,0.1729549151690211,0.257562613475387
SRF_ohlcv.csv,160,139,21,0.86875,1.261061883391556,0.2923124706564495,11.593897211983268,-0.45694513789443586,404.66875,322.0,1138,6,2.002921505823295e+35,253.83969333019627,70.01500637914393,0.9300331390012725,2.3486430402823624
NESTLEIND_ohlcv.csv,122,104,18,0.8524590163934426,0.12397203423596004,0.1123565999409935,0.6168633674191072,-0.48090772557851247,336.3360655737705,195.5,2840,9,184589.73492072575,1.4275505515188271,5.530944867357444,0.08739012249420133,0.19776438656057718
POWERGRID_ohlcv.csv,94,79,15,0.8404255319148937,0.1340521026176727,0.07431423711424587,1.0353447978936896,-0.19575568366695723,291.968085106383,158.5,924,16,46877.90257338862,2.014583640268059,15.229921603870215,0.09126951667586228,0.18335385734895104
KOTAKBANK_ohlcv.csv,144,121,23,0.8402777777777778,0.2818500230455401,0.10995766408802532,2.7418858473276004,-0.4401951649023255,140.6875,107.5,427,14,1681408009284.3206,297.36105971975974,22.173987765125116,0.19181459901710368,0.5012730454112451
TITAN_ohlcv.csv,209,175,34,0.8373205741626795,3.1435298782989842,0.2334162080118375,24.08181380134705,-0.5103060744345554,702.7846889952153,509.0,1826,7,4.90590474428066e+66,167.6802163518514,137.1987204778035,2.1207546068907024,5.919845623975909
HAVELLS_ohlcv.csv,122,102,20,0.8360655737704918,0.5595488157622113,0.12386739708546984,7.101312299649301,-0.7154051567480765,233.60655737704917,102.5,992,12,29140841134839.53,520.7881784762437,18.025504013258125,0.3760901876434535,1.4352240370155211
SUNPHARMA_ohlcv.csv,189,156,33,0.8253968253968254,0.7727833180862993,0.147395663484351,9.170119011609886,-0.21679775576102167,362.2275132275132,295.0,1203,7,7.10561988477107e+29,533.580201758519,49.35235646856706,0.5029224768498137,1.58787825370682
TCS_ohlcv.csv,140,115,25,0.8214285714285714,0.21332713484784352,0.07480853164391685,2.9172499357762613,-0.4822866303813407,156.99285714285713,66.0,722,10,177916289.98560998,43.85584042310785,13.12965761097884,0.1371388724021851,0.538733775936429
ULTRACEMCO_ohlcv.csv,154,126,28,0.8181818181818182,0.15428968460278292,0.09404077953832604,2.840034459668245,-0.629057637247958,118.53246753246754,82.0,510,13,22099395.631991748,10.576256451675516,6.260416013214407,0.0981843447472255,0.35188422205785164
BAJFINANCE_ohlcv.csv,145,118,27,0.8137931034482758,1.2577217778591765,0.18122616567875607,16.00493775759187,-0.7735696110005412,442.19310344827585,200.0,1201,9,1.9103028964079147e+29,576.8141514914769,39.062082746605384,0.7893288398978279,2.739636742864249
