File,Total trades,Winning trades,Losing trades,Win rate,Average return per trade,Median return per trade,Max return,Min return,Average trade duration (days),Median trade duration (days),Max trade duration (days),Min trade duration (days),Total cumulative return,Maximum drawdown,Profit factor,Expectancy,Return volatility (std dev)
COLPAL_ohlcv.csv,149,132,17,0.8859060402684564,0.1434394632497178,0.1094485816324298,0.7397799731702573,-0.12838061295214104,134.38926174496643,109.0,466,4,124593000.48481898,29.96027929192593,23.06470407685934,0.11070831056186275,0.15977249959813644
SUNPHARMA_ohlcv.csv,181,153,28,0.8453038674033149,0.14709999363110154,0.09738537432522079,1.9979607129841164,-0.3077631662866062,70.79005524861878,54.0,220,6,867998222.5269637,581.814793541803,9.280329980311459,0.10158839339164469,0.29961870875644786
HAVELLS_ohlcv.csv,129,109,20,0.8449612403100775,0.25386660111483444,0.11011355244642096,4.322138407627408,-0.6749548652502191,93.11627906976744,80.0,308,6,831997702.6824415,515.9809162732372,11.115756076132568,0.17514827518775394,0.595615389246063
HINDUNILVR_ohlcv.csv,212,177,35,0.8349056603773585,0.19348072330814114,0.13632346668045447,1.4916293140840233,-0.2484108520356451,234.83490566037736,168.5,698,13,148718197123343.34,24.037935074576346,13.42910369335674,0.12959557881960398,0.2826883092922756
TCS_ohlcv.csv,133,111,22,0.8345864661654135,0.18885660489644923,0.07410757910451689,2.3892350836554206,-0.4946400114008621,109.13533834586467,61.0,418,8,26634507.14814539,42.32335551492396,10.700707284865057,0.12637772808860137,0.4405893762390545
APOLLOHOSP_ohlcv.csv,150,125,25,0.8333333333333334,0.14520514300947354,0.09504445156627195,1.0305854926783946,-0.18186564257546844,114.00666666666666,68.0,418,8,100986718.5234319,41.24015090866965,15.900319111331665,0.09680342867298236,0.19475282800339228
ITC_ohlcv.csv,196,162,34,0.826530612244898,0.19629793463466935,0.07900440060863875,1.5283757503459021,-0.27718728664581516,163.26530612244898,81.0,630,4,2508389404710.2026,42.00643481537859,12.883949507791101,0.1281945695573351,0.35795455559002465
ASIANPAINT_ohlcv.csv,127,104,23,0.8188976377952756,0.10239356979887822,0.05419503976398608,1.2732157194555722,-0.31682992981776253,62.724409448818896,50.0,184,6,39664.041114303494,79.85764300248923,7.648638943503009,0.06530613506857587,0.2084189335523507
KOTAKBANK_ohlcv.csv,144,117,27,0.8125,0.18148538241131507,0.08392715197648648,3.362869804971898,-0.7069746426103416,114.74305555555556,69.0,407,8,8035146.232677031,320.7226360936628,6.713397351573279,0.1134283640070719,0.4971549096571681
NESTLEIND_ohlcv.csv,117,95,22,0.811965811965812,0.07912207060029483,0.08269423022163429,0.4384255785954584,-0.5183842319323639,170.13675213675214,89.0,1796,8,1411.3241896388765,1.3020261205112345,4.002933036853667,0.049366761998474555,0.1616181913459391
HDFCBANK_ohlcv.csv,169,137,32,0.8106508875739645,0.1265329607617299,0.0680303302275723,1.786314726951331,-0.26262144451652764,72.0414201183432,57.0,207,6,31822442.77664241,248.56292780427515,11.875847677552995,0.07861515313598605,0.24068650088918941
DIVISLAB_ohlcv.csv,136,109,27,0.8014705882352942,0.17996809588220078,0.10152931865106132,1.0384986741575062,-0.45468081573003855,93.9779411764706,81.0,297,4,219099938.7462805,279.7045784998025,9.016860204432964,0.10851017545838579,0.26757793390622836
TORNTPHARM_ohlcv.csv,150,120,30,0.8,0.12490408650903713,0.09848056258253358,1.2041612406946425,-0.2625589396504898,71.19333333333333,65.0,197,5,9139885.732473452,60.442623675801315,11.936113178340596,0.07494245190542229,0.17904556541245895
AXISBANK_ohlcv.csv,152,121,31,0.7960526315789473,0.13139290057188627,0.09202595689169646,1.2437505219155405,-0.5099975481136789,68.48026315789474,55.5,251,4,6457678.961615098,249.14745717076875,6.489888146014831,0.07779842797019582,0.24226163632361902
DMART_ohlcv.csv,53,42,11,0.7924528301886793,0.09032642332237799,0.07646626679189435,0.5253352702863061,-0.1803503421839954,128.0754716981132,84.0,311,6,61.35780561889685,2.703978773231949,6.145411473927449,0.05283243628290034,0.14701543907667336
ULTRACEMCO_ohlcv.csv,158,125,33,0.7911392405063291,0.19060770344256256,0.08937071139302183,1.8412840820018477,-0.4659075380451283,165.03164556962025,112.5,665,7,4716437963.35248,10.254456853336293,8.706254110617639,0.11098676402984654,0.33121829708651257
MARUTI_ohlcv.csv,147,116,31,0.7891156462585034,0.11354294817603391,0.07880208661619943,0.9988658959842575,-0.2630779495146241,138.97278911564626,100.0,371,7,977850.8187705016,34.659758620313184,7.240878671868287,0.0656540856800196,0.1966823053361201
BAJFINANCE_ohlcv.csv,142,112,30,0.7887323943661971,0.4119608904237763,0.0994591742732858,10.25563472348102,-0.8272232900286921,107.95070422535211,82.0,364,3,1494843289.2880473,614.5403764509026,8.326948029318705,0.23789290855457504,1.3781475512757264
BHARTIARTL_ohlcv.csv,151,119,32,0.7880794701986755,0.14151627451095225,0.10613545055412557,0.9029052699011028,-0.22355945997213786,209.46357615894038,210.0,557,4,45447137.34679081,20.101269788513182,7.614537522348822,0.08153586677121091,0.20849485344407476
BOSCHLTD_ohlcv.csv,158,124,34,0.7848101265822784,0.11118549049657933,0.09014240292294944,0.8172484848301329,-0.43532399273910144,144.0379746835443,123.5,423,7,1353010.3083511223,67.7039634293721,5.1064682469469265,0.06333350724488696,0.20100954029717671
ADANIENT_ohlcv.csv,174,136,38,0.7816091954022989,1.6860691410551645,0.30614683341600435,34.77732328589483,-0.5809614078482679,153.42528735632183,159.0,340,2,1.2664139228382274e+33,394313.8781219718,39.28578866693556,0.94962514841038,5.7383685803374895
