File,Total trades,Winning trades,Losing trades,Win rate,Average return per trade,Median return per trade,Max return,Min return,Average trade duration,Median trade duration,Max trade duration,Min trade duration,Total cumulative return,Maximum drawdown,Profit factor,Expectancy,Return volatility
HDFCBANK_ohlcv.csv,18,14,4,0.7777777777777778,0.5245934634216537,0.13470144492387176,3.4499942674495534,-0.22233754721770477,450.22222222222223,418.5,1567,5,185.74565408652614,220.20341327378287,18.628864075610878,0.29144081301202984,0.9806008171436377
VOLTAS_ohlcv.csv,11,8,3,0.7272727272727273,19.277646085005586,0.39019114185599274,206.18452261357655,-0.22523265500502798,518.3636363636364,513.0,1343,16,6255.321767436755,5551.363615686567,702.3023867643019,8.762566402275265,61.99603384625007
HAVELLS_ohlcv.csv,14,10,4,0.7142857142857143,1.0916783493920625,0.45869112718423066,10.5996816878529,-0.1653402931347685,438.35714285714283,460.0,1301,5,316.34022818518616,520.7881784762437,32.83416704614645,0.46786214973945545,2.7719957351507767
TCS_ohlcv.csv,13,9,4,0.6923076923076923,0.4003509083952458,0.21872025485040533,1.8561785068155119,-0.2610682958641696,469.38461538461536,405.0,1251,15,26.343877672184576,43.85584042310785,9.72860877134422,0.15398111861355604,0.6248028710428902
SIEMENS_ohlcv.csv,13,9,4,0.6923076923076923,0.8892931619525447,0.2778652521302399,4.788133233288135,-0.11280581400506524,488.3076923076923,400.0,1138,64,389.21723447323626,265.531300194863,55.23202836684813,0.3420358315202095,1.3834025659264448
PIDILITIND_ohlcv.csv,16,11,5,0.6875,0.6220038521929545,0.2620323882968193,5.171901555715317,-0.13333827962129668,415.5,449.5,719,31,181.4943927552853,202.03359853785423,22.336883962497506,0.2332514445723579,1.2930983911115672
AXISBANK_ohlcv.csv,16,11,5,0.6875,0.4666205968924576,0.12608674057919664,2.386970792042264,-0.17312027942759636,408.5,394.0,826,53,109.0579725217556,229.36223846799692,17.062622488704214,0.17498272383467162,0.7038037587997659
AUROPHARMA_ohlcv.csv,19,13,6,0.6842105263157895,0.6755450137726587,0.04607431088616037,5.967465235912418,-0.16525799653500928,327.5263157894737,275.0,890,8,488.10303870256945,145.75451033205223,26.22188477093102,0.24888500507413747,1.4412388554788238
MUTHOOTFIN_ohlcv.csv,6,4,2,0.6666666666666666,0.5322869708933577,0.33948312141935977,2.2073099605290136,-0.2640217317496631,464.8333333333333,360.5,1246,118,5.325794315844082,5.9337771385528395,9.721532895166327,0.1774289902977859,0.8897485709506635
BOSCHLTD_ohlcv.csv,12,8,4,0.6666666666666666,0.6702473729965059,0.25786990724325015,3.7794556270056545,-0.0929912554657938,498.4166666666667,554.5,924,58,87.74183382846782,65.18492886852232,32.88687084130657,0.22341579099883524,1.1047619488012008
GODREJCP_ohlcv.csv,15,10,5,0.6666666666666666,0.5574388879331049,0.05185443180390841,5.303022808224546,-0.30290771318084,412.3333333333333,280.0,1346,18,41.41796795862619,76.37929769654133,13.898609293415499,0.18581296264436828,1.402186716426754
DMART_ohlcv.csv,6,4,2,0.6666666666666666,0.26392290383317374,0.18128666101406193,0.8264605340969389,-0.11700603814006272,342.3333333333333,440.0,522,51,2.255239825087706,3.262390869688229,9.2838246810873,0.08797430127772456,0.3831814499562952
BRITANNIA_ohlcv.csv,18,12,6,0.6666666666666666,0.6426714707775143,0.06154436335961729,5.2066684023237375,-0.13663183869680787,416.55555555555554,343.0,1351,27,173.02442377896963,247.30821201689878,31.00128271569429,0.2142238235925047,1.491312674377902
INDUSINDBK_ohlcv.csv,15,10,5,0.6666666666666666,0.37216579925362686,0.11741952604793314,1.93582773847462,-0.17241172060729923,367.8,341.0,703,15,29.88155329316769,124.05256740713664,12.442665959665902,0.1240552664178756,0.6814978729159055
BAJAJ-AUTO_ohlcv.csv,17,11,6,0.6470588235294118,0.4198710801970131,0.03467342978492804,3.520009968853024,-0.32851815032816223,335.52941176470586,252.0,798,38,34.75645298175717,64.56772961475986,9.135633712123871,0.1234914941755921,0.9620783103952444
ICICIBANK_ohlcv.csv,14,9,5,0.6428571428571429,0.19817146605406627,0.115685276146608,0.7307300012876751,-0.1805885119312327,372.42857142857144,392.5,637,1,7.707510038152893,14.271636690204582,10.525233798951712,0.056620418872590395,0.29411418312752635
HCLTECH_ohlcv.csv,11,7,4,0.6363636363636364,0.5989089367714435,0.18746180887913247,2.6946135551393007,-0.22847163616244864,568.3636363636364,568.0,1320,21,35.23712221539505,44.675636330217344,11.808317258535974,0.1633388009376664,0.9716873973832766
ASIANPAINT_ohlcv.csv,16,10,6,0.625,0.28097771029514995,0.13945708655873246,1.2034914077173189,-0.22359150366855202,402.9375,323.5,1147,4,22.753227117033873,80.66741081378541,7.642528382636133,0.07024442757378747,0.426358881939874
PAGEIND_ohlcv.csv,8,5,3,0.625,3.7927945554629097,0.1500058578263248,28.64775789243339,-0.26959432690818086,620.25,355.5,2382,55,92.8725696456514,92.99287386237029,101.23639578751899,0.9481986388657275,10.051480901317204
BERGEPAINT_ohlcv.csv,13,8,5,0.6153846153846154,0.6966452284495033,0.3743882682556808,5.552730535721284,-0.24463934771327245,458.7692307692308,419.0,1302,3,65.2264704821312,148.974799633468,13.892152795839168,0.16076428348834693,1.5317516255364172
TATAMOTORS_ohlcv.csv,20,12,8,0.6,0.40157425211589637,0.19614076966258787,2.035301002424089,-0.6094016668669646,358.9,329.0,746,27,85.34358395411823,26.80744043405537,6.731274027252499,0.08031485042317926,0.7106182781204147
