File,Total trades,Winning trades,Losing trades,Win rate,Average return per trade,Median return per trade,Max return,Min return,Average trade duration,Median trade duration,Max trade duration,Min trade duration,Total cumulative return,Maximum drawdown,Profit factor,Expectancy,Return volatility
INFY_ohlcv.csv,186,186,0,1.0,8.27738860929113,4.371902861700175,92.1701643532589,0.27969436211168713,3173.6236559139784,3084.0,5666,180,2.4925649516474054e+144,1196.1190376273375,,8.27738860929113,13.745970692041494
HAVELLS_ohlcv.csv,115,115,0,1.0,6.669137014250156,6.785088026348696,22.230371215870726,0.06774787791700614,2456.034782608696,2522.0,4089,231,7.133471558598825e+92,520.7881784762437,,6.669137014250156,4.121284942825608
ASIANPAINT_ohlcv.csv,128,128,0,1.0,4.972161250846769,5.13093903034704,11.141281181409635,0.03696165641845961,2676.7421875,2907.0,3990,223,4.932967466406349e+92,80.66741081378541,,4.972161250846769,2.4524420077813676
DABUR_ohlcv.csv,129,127,2,0.9844961240310077,2.6692320005314434,2.7010609765710956,5.697260229631332,-0.05844166729920012,2628.4263565891474,3043.0,3486,29,2.5254341407585026e+68,31.053119968012524,5629.149082403054,2.5864651167940345,1.3302770541267188
BRITANNIA_ohlcv.csv,158,155,3,0.9810126582278481,6.954505748833904,3.7262656856435408,25.740902780590872,-0.14491166150134427,2727.0696202531644,3035.0,4088,68,1.5236435554469848e+113,247.30821201689878,3745.270308726024,6.690410593814896,6.6671275165072315
AMBUJACEM_ohlcv.csv,151,148,3,0.9801324503311258,1.152317385423795,0.9615408765628628,3.034425231789223,-0.7385960114649129,2454.245033112583,2717.0,3846,46,2.722135978643353e+46,13.782035113696455,200.43730671953335,1.1065299396453658,0.7175825038699699
KOTAKBANK_ohlcv.csv,140,137,3,0.9785714285714285,4.127994388499901,3.8517915255954165,20.083209713745017,-0.6241505955369561,2517.55,2617.0,4059,176,4.2197935485145816e+88,297.36105971975974,460.82587703554805,3.951080343278476,3.0898989310856457
GODREJCP_ohlcv.csv,115,112,3,0.9739130434782609,2.4209922454823998,1.8044013462955375,7.319247119902476,-0.13477525823504768,2110.8347826086956,2556.0,3301,42,6.28203464629314e+54,76.37929769654133,1515.316616785291,2.294679606587666,1.8184072575757713
HEROMOTOCO_ohlcv.csv,159,154,5,0.9685534591194969,1.041124701752962,0.8326416806404919,3.661495506943259,-0.13931077884684875,2151.817610062893,2382.0,2802,43,1.1086805569822629e+44,17.1411968397709,485.81751951815585,0.9756451607622095,0.8189298700701795
SHREECEM_ohlcv.csv,151,145,6,0.9602649006622517,3.904106906412406,2.7950017071035265,15.125985997322763,-0.30822509913113444,2117.6754966887415,2208.0,3282,47,6.348046814279145e+88,490.6233283384719,607.386593450497,3.5938467549094337,3.308092013219484
APOLLOHOSP_ohlcv.csv,115,110,5,0.9565217391304348,1.5835420966862697,1.2193785881384351,5.063923075504072,-0.1816976190567024,1834.0521739130436,1970.0,2878,31,1.896440482539223e+41,40.732394146165404,447.1602762334613,1.4458427839309418,1.2813760162851386
HDFCBANK_ohlcv.csv,177,168,9,0.9491525423728814,3.9247694838928733,3.557438282218673,12.566314338124698,-0.3458491429180057,2563.0282485875705,2368.0,4734,35,1.795053179448032e+109,220.20341327378287,456.84995244362943,3.525640383835971,2.6213320276905585
BAJAJ-AUTO_ohlcv.csv,146,138,8,0.9452054794520548,3.117993308481684,2.400263619872635,13.482485746384919,-0.4059903491593584,2651.445205479452,2822.5,4478,120,1.355751314250554e+77,64.56772961475986,276.054711582775,2.7762954116617733,2.853207643512238
DIVISLAB_ohlcv.csv,114,107,7,0.9385964912280702,3.8386519278582667,2.1568480869054145,14.190550710251866,-0.4502252318619199,2221.3684210526317,2076.5,4725,308,8.317093923823407e+62,347.7858776467736,203.9112514286549,3.367238533209006,3.915279061553846
BERGEPAINT_ohlcv.csv,108,101,7,0.9351851851851852,4.4311976802954725,3.1899918552788176,19.866865294773415,-0.47576473394878316,2085.824074074074,2293.5,3377,199,5.43543769790412e+64,148.974799633468,319.5227978730876,3.856783166183097,4.30448465322088
CIPLA_ohlcv.csv,204,190,14,0.9313725490196079,1.287981808794674,1.2422661532350152,4.574511254615313,-0.9299278319794336,2196.1323529411766,2513.5,3638,55,2.106036585246132e+62,50.46796308329438,54.84035037746126,1.1111999919012874,0.9649587539683652
GRASIM_ohlcv.csv,159,148,11,0.9308176100628931,1.3902531225958747,1.0098682140037138,5.3986937050510875,-0.7105971410289909,2541.698113207547,2589.0,3850,265,3.615934245815799e+51,20.4795843271956,161.69941005319785,1.197891055318458,1.2183031733912297
PAGEIND_ohlcv.csv,86,80,6,0.9302325581395349,5.285936068369023,3.569402717856741,18.283814216924327,-0.3711349804316378,2115.8953488372094,2354.0,3017,28,3.5362045981388923e+58,92.99287386237029,498.80116707883644,4.548363593712881,4.605875434940342
AXISBANK_ohlcv.csv,176,163,13,0.9261363636363636,0.9810627475173611,0.9218202675157054,2.720741351437529,-0.4008096040658514,1680.8068181818182,1676.5,3637,16,4.246690612845009e+46,229.36223846799692,88.11834693754305,0.8361330234522965,0.729175497830496
NESTLEIND_ohlcv.csv,108,100,8,0.9259259259259259,0.7604069526542927,0.4203991231359965,2.1599142608025765,-0.5260023040261721,1204.101851851852,1335.5,2141,32,4.715288881238499e+22,1.4275505515188271,69.50280827569863,0.6477540707795826,0.6996671876810842
COLPAL_ohlcv.csv,134,124,10,0.9253731343283582,1.6994848538904588,1.5461605075487133,4.761112100749351,-0.30655137634952906,2128.1492537313434,2460.0,3681,20,1.2469828460000204e+52,30.17292393231203,176.06522532841703,1.4458303980859126,1.134125948081035
