Stock,Total Return,CAGR,Sharpe Ratio,Max Drawdown,Avg Daily Return,Daily Return Std
ADANIENT_ohlcv,25901.687602669463,0.5553680675275368,0.4302045916188324,0.6906708581638735,0.00376219754236017,0.13882472582723127
VOLTAS_ohlcv,8440.891274153111,0.481388814428394,0.3975522175559806,0.3761144418763352,0.0031598921105640177,0.12617646173491914
EICHERMOT_ohlcv,1611.126943118363,0.28444066592149464,0.36698177894069095,0.3491450583493906,0.0025267878369504173,0.10930110347752256
KOTAKBANK_ohlcv,1533.9575902282727,0.3574969840683231,0.525418072105484,0.2621341698497957,0.0026291505168839976,0.07943478303847303
BAJFINANCE_ohlcv,1530.8518059336786,0.3754683552628575,0.22587408485380064,0.37001791943548135,0.020429354815136275,1.4357820372709575
SUNPHARMA_ohlcv,1095.1623540812705,0.2677565068430108,0.8639153065516378,0.5362986307564197,0.0011782223673428265,0.021649923432187156
HDFCBANK_ohlcv,1089.5332121005717,0.26753529140596277,0.8897602157260719,0.2668840389877815,0.001154996447297926,0.020606675668588606
INFY_ohlcv,1046.4028326423422,0.2658027914869041,0.8398267054968741,0.355572066327713,0.0011941969671830789,0.02257285821644367
SRF_ohlcv,1025.9435092576334,0.35176671005005056,0.5613304775064207,0.21128120855951618,0.0021244239301263465,0.060079018941113664
HAVELLS_ohlcv,995.5204528111492,0.3500009003936766,0.995087403931115,0.3225704637486903,0.001487394588395398,0.02372822427520098
BRITANNIA_ohlcv,864.7697282278102,0.25768478627553004,0.9258856388658548,0.29023195073896857,0.001082568799922948,0.01856087426880634
PIDILITIND_ohlcv,769.1297430997507,0.33496282906111086,0.4987015443114487,0.29842255587812827,0.002652321148150202,0.0844278374726698
SHREECEM_ohlcv,736.0784065434533,0.3166371613931276,0.9679924890631166,0.4066693834769734,0.0013494196851089081,0.022129689691138515
TITAN_ohlcv,661.2705662931778,0.24628778076711066,0.7175013770582068,0.23405702898361666,0.0012615281941275325,0.027910941890391075
WIPRO_ohlcv,442.63312297416275,0.22947657398561527,0.467628039284706,0.42818613364275865,0.0017654319616450687,0.05993088781753729
TORNTPHARM_ohlcv,300.8546537794213,0.28170603618760026,0.9163878142046021,0.16981839707270976,0.0012211406395681852,0.021153715041067295
CIPLA_ohlcv,283.6727039861356,0.21112641923785103,0.4106722024585968,0.23152300360106975,0.007259252786783168,0.28060595476876254
BERGEPAINT_ohlcv,262.02108371070926,0.27405685218092213,0.8022133664417198,0.47069627956237287,0.0012938826708122698,0.025603849917257768
SIEMENS_ohlcv,250.64519706494113,0.23201413951312744,0.7455267944344258,0.6592343148874436,0.0011288121104161002,0.02403580509814934
AXISBANK_ohlcv,238.6008116555158,0.22874123224007725,0.7057538366063846,0.4003127283765179,0.001164874960771336,0.026201510737852034
DIVISLAB_ohlcv,228.49345806084287,0.2758897531213076,0.8835635928251139,0.4602072850750995,0.0012251254643448877,0.02201116476389726
GODREJCP_ohlcv,190.12583929554816,0.25649637956488536,0.8866861970598188,0.34040665111799506,0.0011191096778614136,0.020035628662620236
APOLLOHOSP_ohlcv,181.34099998201324,0.25392914857721105,0.8391391332444382,0.28924751760781564,0.001143591138065712,0.021634012523006778
AUROPHARMA_ohlcv,163.60932075729085,0.1891152094642643,0.5847108173515292,0.6084211716585801,0.001249380775993279,0.03391985297356807
RELIANCE_ohlcv,155.11227442655624,0.1867139180650359,0.630327064828979,0.23833748926673398,0.0009621178233788333,0.02423051112324183
BOSCHLTD_ohlcv,142.77398646605965,0.24104368293678546,0.910444784334085,0.4555485498938445,0.0010294711574061108,0.017949850740718417
TCS_ohlcv,128.66883850162796,0.23679907586672022,0.5666514346753168,0.2772940560415541,0.0012706533520293064,0.03559683325217136
BHARTIARTL_ohlcv,127.3902232475605,0.23495392631479883,0.7836906824057543,0.15732266551550947,0.0010939120688863943,0.022158379744117565
MARUTI_ohlcv,108.59544991016682,0.23817305117602494,0.8498706513364591,0.37163934873408816,0.0010570208464973658,0.019743811268539815
ITC_ohlcv,106.406288103833,0.17176703778028135,0.6650286180862577,0.28957753665031805,0.0008256527157559949,0.019708671438666954
HCLTECH_ohlcv,97.18128080489403,0.22186072590688632,0.7445647622742799,0.30894912614510267,0.0010637426537807824,0.022679546469101433
BAJAJ-AUTO_ohlcv,93.54091548270912,0.21863462461824867,0.8097525847494382,0.4231352548080214,0.0009923752989216819,0.01945467021141467
PAGEIND_ohlcv,91.44725372833146,0.2806401333210582,0.9240438114557246,0.4524231520419299,0.0012219113325021684,0.02099168980881506
LT_ohlcv,91.41808752321027,0.21743227127213482,0.6843427450718854,0.2262685996936714,0.0011172727386079796,0.02591706422791063
ICICIBANK_ohlcv,90.86941000290248,0.21711720853478167,0.7295769297733263,0.2808556100095878,0.0010542877436662086,0.022939731777792145
TATACONSUM_ohlcv,76.86741685247375,0.1590630509594817,0.5972236973043449,0.294954607296307,0.0008309918835562578,0.02208818446414659
ASIANPAINT_ohlcv,75.7650443925634,0.20765166360943477,0.8989466427023048,0.4366719348037073,0.0008815494651628917,0.015567290932051865
INDUSINDBK_ohlcv,71.845787337292,0.20490393971441478,0.6399065247329001,0.8416128518403293,0.001171153926454091,0.029053449995694765
DABUR_ohlcv,53.19995025875652,0.18951813934986173,0.6476997583609581,0.32029887875662844,0.0009551623958211392,0.023410126019670633
HINDUNILVR_ohlcv,50.884663248496295,0.1432227174603038,0.6138680993451835,0.2822537169610304,0.0006925402046948022,0.01790895298019942
UPL_ohlcv,47.7805806431439,0.18408365921771108,0.6056034387935721,0.47640526231373076,0.0010524096399857515,0.027586509650435652
